short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
H. Kite,England,69,52,52,58,50,41,49,55,57,67,75,57,53,49,14,6,12,
S. Griffin,Republic of Ireland,56,57,54,58,53,55,57,54,58,60,65,63,56,52,13,14,13,
C. Thompson,England,71,59,35,56,23,31,63,25,51,75,70,60,19,11,12,14,8,
J. Nolan,England,74,51,51,57,33,56,49,44,54,73,73,55,35,30,6,10,8,
B. Kirdar,Australia,73,45,55,56,28,43,48,58,52,72,69,50,38,36,6,12,14,
T. Crawford,England,74,49,53,61,50,46,47,56,56,76,84,53,53,47,13,12,11,
C. Rowe,England,72,38,48,55,52,43,32,46,53,74,73,48,54,52,10,12,11,
C. Øyvann,Norway,66,28,38,39,56,25,24,38,42,64,40,42,60,57,8,5,11,
A. Burley,Saint Kitts and Nevis,56,21,37,45,57,32,14,38,45,52,56,37,59,57,6,14,9,
B. Ekincier,Azerbaijan,67,57,54,58,37,59,54,52,51,65,73,71,39,39,11,12,12,
T. Scully,England,62,50,56,59,52,46,51,57,60,66,61,55,54,51,13,9,13,
S. Graham,England,67,27,33,38,55,29,27,36,39,64,62,32,58,55,12,13,11,
M. Schantl,Austria,53,46,55,57,54,51,44,56,58,56,56,51,59,49,11,13,14,
R. Gutiérrez,Mexico,,,,,,10,7,28,17,19,29,44,13,11,54,56,57,23
Tian Xin,China PR,72,42,50,56,33,51,42,39,54,73,74,38,31,32,13,11,7,
Zhou Junchen,China PR,75,49,47,58,23,47,52,35,53,74,79,48,15,11,15,6,6,
S. Pollock,England,66,51,57,59,49,54,49,58,56,67,72,53,52,49,11,8,14,
C. Jolley,England,69,58,43,55,19,38,60,40,54,68,60,56,16,17,10,5,12,
I. El Mizouni,Tunisia,66,49,53,59,46,40,47,54,58,68,62,52,49,46,12,5,6,
D. Williams,Republic of Ireland,69,54,48,57,25,35,56,43,57,70,69,54,22,21,8,7,14,
J. McClelland,Republic of Ireland,66,51,54,55,30,56,49,53,50,66,69,56,38,33,6,7,5,
W. Jakobsson,Sweden,,,,,,13,5,19,11,27,27,44,14,10,56,58,57,24
G. Ranjitsingh,Trinidad and Tobago,,,,,,12,8,28,19,24,39,38,13,10,53,52,70,21
S. Doungel,India,82,55,47,56,29,53,54,42,50,83,78,62,29,25,13,10,12,
Lee Kwang Jun,Korea Republic,59,21,29,28,56,28,16,21,30,55,33,31,58,55,6,12,11,
K. Krasniqi,Kosovo,63,49,54,57,46,44,45,57,57,61,66,59,50,48,14,14,11,
A. Longher,Romania,69,51,51,58,34,56,50,48,59,71,69,57,37,35,6,8,14,
L. Renthlei,India,72,27,41,50,53,47,25,31,44,73,76,30,53,48,6,10,12,
S. Gama,India,72,42,45,54,49,49,42,42,49,75,73,40,52,53,10,10,12,
M. Yasir,India,73,42,49,59,30,45,45,49,53,72,85,42,32,31,8,7,13,
P. Chaudhari,India,55,25,32,42,54,29,21,31,42,52,46,35,59,56,14,11,6,
M. Hansen,Denmark,69,44,57,60,43,59,42,57,55,73,77,55,45,40,12,13,10,
D. Simeu,England,62,28,39,45,55,34,22,38,50,60,39,47,58,56,14,12,8,
P. Ekwah Elimby,France,60,33,49,50,55,37,26,52,53,61,41,48,55,57,14,14,8,
D. Quintero,Colombia,,,,,,12,8,29,17,22,34,44,10,11,56,58,55,22
A. Tchaptchet,France,57,31,35,37,58,30,22,36,36,63,43,47,59,55,7,10,12,
Bao Yaxiong,China PR,,,,,,11,7,23,12,17,38,41,11,14,59,52,56,20
K. Radkowski,Poland,60,33,47,51,54,35,28,53,51,55,56,44,55,57,13,10,15,
D. Leyva,United States,57,58,54,55,50,35,55,55,58,60,71,67,60,52,6,14,6,
A. Przybek,Wales,,,,,,15,11,21,11,31,39,41,19,15,58,57,55,29
D. Ontužāns,Latvia,70,47,51,61,30,47,47,49,59,74,73,48,31,33,6,12,10,
C. Boyd-Munce,Northern Ireland,63,52,55,53,45,43,48,60,51,62,63,66,52,43,15,9,15,
F. Nevarez,Mexico,53,39,53,61,54,43,39,59,55,52,49,22,65,63,13,13,10,
S. Beccari,Italy,,,,,,14,8,28,19,41,41,39,12,12,57,53,55,39
N. Jaby,France,69,46,55,55,53,40,45,55,54,72,73,50,60,56,11,10,12,
A. Al Safri,Saudi Arabia,60,34,57,58,54,54,28,59,59,57,56,45,56,54,7,9,8,
A. Porras,Colombia,67,29,40,51,53,42,26,37,44,67,57,33,52,55,9,6,6,
T. Tushi,Switzerland,70,55,47,56,21,37,58,47,57,72,64,55,18,25,10,9,12,
D. Meddah,France,67,47,55,62,49,47,48,58,63,63,70,56,49,51,14,11,14,
A. Eid,United Arab Emirates,60,56,42,55,16,35,59,31,55,61,59,56,10,13,6,11,11,
B. Boruń,Poland,68,49,52,55,25,54,48,47,57,69,59,58,26,31,7,8,9,
R. Jalving,Netherlands,,,,,,10,8,20,15,24,35,44,14,10,58,53,59,26
M. Pochettino,Argentina,76,49,52,55,32,54,46,52,51,75,58,50,29,33,11,10,13,
J. Reid,England,80,54,46,57,20,48,57,35,56,80,68,52,15,19,9,6,12,
K. Adedoyin,Nigeria,72,53,49,58,30,48,56,46,57,68,61,54,32,31,9,13,6,
G. Horton,England,68,24,40,46,54,22,24,54,46,64,51,32,55,52,14,14,7,
H. Perritt,England,63,30,44,51,52,49,28,45,50,65,60,39,53,54,9,11,15,
Junior Quitirna,Guinea Bissau,63,48,53,60,41,50,49,58,58,63,73,53,45,42,8,8,11,
E. Vanspaul,India,72,34,51,53,51,53,31,47,52,73,75,43,54,52,7,10,6,
J. Evan's,France,66,41,56,53,48,55,32,57,48,65,62,56,44,55,7,14,9,
T. Rushesha,Wales,78,29,42,52,51,53,26,38,38,77,85,35,56,51,12,8,7,
T. Schlitter,Germany,,,,,,13,10,32,22,27,29,43,12,13,56,58,53,27
E. Bonds,Guyana,67,46,54,55,54,50,43,58,55,68,55,52,57,55,14,12,7,
F. Al Hamad,Saudi Arabia,65,26,37,38,55,31,20,35,40,60,39,38,56,55,11,5,11,
H. Van der Saag,Australia,63,29,44,54,52,41,27,42,52,62,63,26,53,50,8,11,9,
D. Tangri,India,69,37,47,52,54,37,33,53,52,68,67,48,57,55,5,10,13,
C. Zimba,England,68,53,47,53,36,35,55,48,55,73,58,60,34,28,6,11,9,
J. Singh,India,62,38,47,54,55,40,31,55,56,61,62,51,60,54,5,9,6,
A. Singh,India,,,,,,12,7,18,12,40,23,41,13,13,55,51,63,42
A. Ranawade,India,72,26,40,51,53,39,24,38,47,75,78,32,53,56,8,15,12,
R. Alves,Switzerland,69,44,56,60,48,51,40,59,59,68,66,54,50,49,6,7,8,
M. Lixandru,Romania,65,39,49,51,55,38,36,53,52,67,60,44,58,56,12,9,6,
D. Power,Republic of Ireland,62,32,46,54,53,50,28,48,52,63,67,35,56,56,15,12,6,
A. Farreras,Venezuela,64,33,49,48,52,37,35,45,45,68,65,38,53,43,10,13,5,
T. Omotoye,Belgium,72,55,38,56,18,38,59,26,60,69,66,57,14,11,8,11,9,
H. Cartwright,England,,,,,,10,5,20,18,20,34,40,10,10,56,58,58,25
E. van der Gouw,Netherlands,,,,,,13,8,16,10,47,23,44,10,13,59,52,57,46
K. Simmonds,England,70,58,46,59,23,44,60,35,58,71,61,57,23,23,13,9,11,
A. Cassaert,Belgium,61,23,37,35,56,29,19,41,32,58,66,31,61,60,9,13,6,
A. Descotte,Belgium,69,50,47,64,28,49,58,38,61,63,68,45,33,28,5,6,12,
W. Forrester,England,54,24,30,35,56,26,19,31,39,54,40,35,59,58,6,13,6,
N. Slonina,United States,54,22,35,38,53,25,16,44,43,52,36,36,55,53,7,12,12,
E. Karadağ,Turkey,68,64,51,57,28,52,69,48,59,65,56,71,30,33,7,7,15,
T. Bartouche-Selbonne,France,,,,,,14,7,19,17,19,37,41,11,13,60,55,61,27
E. Munjoma,United States,57,56,46,52,49,69,65,50,41,61,58,71,52,58,11,5,9,
M. Sündermann,Germany,,,,,,8,8,18,13,40,41,45,8,12,60,55,55,42
I. Vázquez,Mexico,64,41,44,61,52,45,30,44,58,64,76,54,54,55,10,9,8,
R. Johansson,Luxembourg,63,41,56,50,52,55,38,62,48,60,55,47,59,52,7,15,6,
P. Metcalfe,Canada,61,41,54,47,52,42,32,64,45,63,56,56,46,53,14,15,9,
C. Barbu,Romania,66,55,48,59,17,44,57,45,57,63,69,57,12,13,9,8,8,
E. Skogvoll,Norway,66,49,51,59,29,55,53,51,60,65,60,50,30,30,8,13,10,
J. Martínes,Bolivia,66,47,48,57,41,44,47,53,62,68,63,50,41,38,11,15,8,
C. Turner,United States,68,38,47,55,54,36,34,56,54,67,59,50,55,52,7,14,13,
E. Mejía,Ecuador,66,37,48,51,50,51,32,49,54,61,58,44,51,48,6,14,11,
G. Campbell,United States,51,24,34,32,56,24,21,33,29,50,44,33,59,55,10,13,14,
R. Ishida,Japan,77,42,50,58,50,51,43,46,56,76,73,48,53,54,5,13,15,
Jung Min Woo,Korea Republic,61,40,56,57,34,46,41,58,57,59,61,42,38,40,8,9,8,
D. Matsumoto,Japan,65,25,37,41,54,32,21,42,47,61,61,34,57,56,13,15,5,
T. Tagawa,Japan,,,,,,11,8,20,11,17,35,42,13,13,59,54,56,24
D. Markitesov,Russia,61,48,57,54,49,54,40,57,45,54,56,65,46,60,6,7,10,
S. Kvile,Norway,67,23,39,47,55,28,20,41,52,66,53,31,57,54,13,10,13,
M. Sande,Norway,59,41,54,53,43,39,33,64,54,64,56,55,45,43,12,11,6,
T. D'Almeida,Côte d'Ivoire,61,43,53,60,53,43,42,62,55,62,64,50,52,53,6,14,5,
C. Finch,Chile,61,21,36,34,57,20,15,35,40,58,43,34,65,60,12,11,6,
C. Mochrie,Scotland,68,47,55,59,33,52,46,54,58,67,68,53,36,33,15,8,11,
I. Dahlqvist,Sweden,74,49,49,61,23,52,51,42,61,77,72,50,24,18,14,10,14,
F. Suffys,Belgium,68,32,51,54,48,62,28,60,58,59,65,34,61,57,12,6,7,
S. Ashford,England,75,56,46,57,30,47,58,40,54,76,73,60,32,32,11,6,12,
H. Gambor,France,65,33,42,49,56,43,29,41,51,67,65,41,59,58,6,5,10,
N. Dailly,Belgium,70,59,53,62,23,52,63,51,60,72,77,53,22,21,7,12,9,
C. Antwi,England,63,36,50,55,53,37,35,55,57,60,65,42,52,50,15,13,13,
Z. Al-Hussaini,England,77,49,51,59,29,48,50,48,56,78,75,49,33,36,5,11,14,
O. Rodríguez,Mexico,62,47,56,53,54,52,38,60,54,62,61,71,51,50,6,11,7,
G. Vázquez,Mexico,70,52,54,61,27,47,53,55,57,72,77,56,24,23,10,11,9,
S. Roughan,Republic of Ireland,64,29,44,41,54,41,26,46,52,63,48,38,56,55,12,8,13,
W. Vanmarsenille,Belgium,,,,,,12,7,20,12,43,59,39,15,14,57,55,60,42
H. Traoré,Germany,82,58,43,59,25,47,56,39,54,80,72,67,25,24,8,12,15,
J. Jack,Scotland,65,57,37,55,21,33,60,28,60,64,56,55,17,14,13,15,12,
L. Brooks,Australia,77,47,47,59,27,55,49,45,56,79,68,52,25,21,11,14,11,
Ł. Zjawiński,Poland,66,53,45,55,20,41,56,41,56,65,58,55,12,17,12,9,13,
M. Gresler,Germany,71,28,44,55,48,49,30,41,57,82,77,25,48,50,13,12,13,
C. Ballantyne,Scotland,65,51,54,57,48,44,50,59,56,66,56,58,48,51,8,10,7,
J. Brown,England,64,31,44,54,56,37,30,46,53,66,55,32,59,61,9,12,11,
S. Long,England,,,,,,14,11,22,14,40,49,44,11,12,60,54,54,42
R. Edwards,England,64,30,42,51,55,31,28,43,50,64,62,40,56,56,6,11,8,
J. Cáceres,Peru,70,60,43,60,23,45,60,33,54,70,63,62,19,20,10,10,9,
A. Andrade,Mexico,63,38,51,55,56,51,35,53,55,62,65,48,57,58,7,13,11,
Ș. Bodișteanu,Romania,70,43,51,58,22,43,44,52,61,73,70,41,25,39,14,14,8,
S. Singh,India,67,31,42,50,54,42,24,44,51,69,69,49,59,58,12,8,10,
C. Amzar,Romania,76,32,40,54,51,48,29,35,49,78,71,35,54,50,7,6,10,
L. Hoole,Wales,79,27,44,49,49,50,26,45,44,81,73,24,55,52,11,12,9,
N. Melvin-Lambert,England,73,53,38,53,20,31,60,32,53,71,69,49,14,15,8,6,10,
Lluis Andreu,Spain,,,,,,12,5,18,12,22,29,41,14,13,55,58,53,25
A. Al Dawsari,Saudi Arabia,67,53,53,61,24,48,54,52,58,69,78,55,26,20,12,11,13,
M. Torlak,Germany,59,49,54,63,32,53,45,52,61,64,71,57,29,36,7,12,12,
Dani Vidal,Spain,61,45,59,56,56,45,42,66,57,69,57,61,54,66,6,9,6,
P. Martinez,Wales,64,46,53,55,54,38,43,57,57,63,54,50,57,58,6,8,5,
K. Torgersen,Norway,64,43,52,59,52,37,38,55,59,63,60,55,53,50,13,14,10,
Y. Maronne,France,,,,,,13,10,25,15,25,30,40,15,12,52,60,57,29
B. McCormack,Republic of Ireland,67,51,54,58,50,55,53,52,57,66,71,52,50,48,6,8,8,
S. Zaidan,Saudi Arabia,67,40,54,62,49,52,35,58,62,68,74,48,47,48,11,14,12,
K. Opoku,Ghana,77,55,42,62,20,28,56,38,58,78,80,59,16,14,8,13,12,
R. Højlund,Denmark,75,51,41,57,19,29,54,39,57,71,60,56,17,15,12,8,7,
Anderson,Brazil,71,54,50,58,24,53,54,42,56,73,67,61,25,20,8,5,10,
M. Ballesteros,Chile,,,,,,22,5,28,8,55,35,41,12,15,60,53,52,53
L. Calzadilla,Mexico,59,45,56,56,49,51,34,65,57,66,54,62,50,55,9,6,11,
J. Chura,Bolivia,62,57,47,60,23,45,60,40,53,57,52,55,19,15,12,9,11,
M. Shereef,India,67,40,48,51,54,47,40,52,48,62,71,48,55,55,8,14,7,
L. Marić,Austria,,,,,,11,8,18,10,25,35,40,20,22,53,55,56,26
D. Hall,Australia,62,24,40,44,55,33,19,35,42,66,47,35,60,56,9,9,15,
B. Kalkan,North Macedonia,64,54,50,61,31,57,54,45,60,63,56,60,35,27,14,12,11,
J. González,Colombia,65,47,51,53,51,35,49,57,54,65,60,45,56,49,11,13,9,
A. Stan,Romania,72,52,51,57,32,55,56,51,57,75,66,53,29,23,11,10,6,
T. Minami,Japan,76,48,50,61,27,53,53,42,59,80,66,48,22,19,8,13,11,
M. Påhlsson,Sweden,,,,,,11,13,20,13,21,26,41,11,11,57,57,57,22
E. Kurtulus,Sweden,66,30,49,56,49,54,25,52,55,64,65,35,56,53,12,14,6,
O. Fallenius,Sweden,78,55,48,59,18,38,62,48,62,79,55,51,14,19,9,11,5,
Alvyn Sanches,Portugal,68,49,57,61,39,51,53,55,61,68,65,50,40,39,12,12,7,
K. Nishikawa,Japan,,,,,,13,9,27,15,40,34,46,13,11,53,55,58,37
V. Lunddal,Iceland,63,31,42,48,54,40,29,42,46,64,59,36,59,56,12,8,6,
Kim Dae Woo,Korea Republic,61,41,53,59,54,41,30,56,58,58,66,56,54,50,11,13,11,
S. Ramírez,Uruguay,68,56,46,56,16,58,57,32,62,67,62,68,11,16,14,13,11,
Son Ho Jun,Korea Republic,58,48,48,54,54,56,49,48,52,62,61,50,56,56,7,11,13,
Yu Dong Gyu,Korea Republic,68,54,45,59,24,46,58,40,57,68,66,61,21,21,7,14,14,
L. Serrano,Bolivia,65,56,54,59,54,51,53,55,58,64,58,62,59,56,12,7,7,
K. Moriyama,Japan,57,33,51,46,57,47,31,56,52,58,46,40,56,56,9,12,13,
E. Kratzer,Germany,62,29,43,47,54,51,21,46,59,61,68,44,59,57,13,7,8,
H. Sulte,United States,,,,,,13,6,17,15,26,24,42,14,13,59,57,59,22
R. Jurkovskis,Latvia,55,30,47,50,53,56,28,41,47,54,53,33,57,54,9,13,9,
D. Rodari,Switzerland,74,54,40,57,21,32,57,36,53,75,79,55,22,17,6,13,13,
A. Abibi,Albania,,,,,,14,9,25,14,18,33,40,14,11,55,58,55,20
S. Hirai,Japan,58,29,41,42,54,37,24,47,51,51,57,45,59,56,15,12,12,
T. Hayakawa,Japan,,,,,,9,8,29,14,25,38,41,13,11,60,52,62,31
N. Sutoh,Japan,70,48,53,63,29,52,45,50,60,72,84,53,32,31,9,10,15,
R. Fukushima,Japan,73,31,44,48,52,53,23,43,48,74,73,51,58,56,9,11,7,
L. Heeney,Republic of Ireland,61,47,51,53,51,47,46,54,51,63,66,50,51,49,9,9,14,
B. Thompson,United States,,,,,,13,7,21,16,20,23,34,12,13,61,56,58,22
J. Kisiel,Poland,62,36,50,52,53,40,31,53,51,62,59,53,56,58,14,10,8,
Y. Kitajima,Japan,66,50,54,55,36,50,53,54,56,69,62,48,37,33,10,6,6,
I. Lysgård,Norway,,,,,,10,7,33,13,30,39,46,11,13,60,58,57,29
J. Filipovic,Croatia,59,22,34,44,56,61,20,21,30,63,70,21,56,57,8,12,15,
B. Kikanović,United States,66,55,40,54,24,38,55,32,53,65,61,63,23,11,15,13,6,
C. Thiam,Belgium,65,30,37,38,55,38,22,38,47,61,44,41,59,52,9,5,7,
D. Csontos,Hungary,73,26,40,47,53,56,22,34,45,72,53,24,55,56,11,14,12,
J. Clarke,Republic of Ireland,75,50,48,58,35,52,52,43,50,72,73,54,34,33,6,8,8,
A. Dervin,Republic of Ireland,63,46,53,58,53,43,47,55,58,62,65,48,55,52,7,10,12,
A. Al-Ammari,Sweden,69,51,59,52,51,59,52,62,55,67,61,51,48,52,8,6,13,
K. Phillips,Republic of Ireland,52,43,50,48,51,45,40,51,46,54,59,50,45,50,7,11,14,
R. Corozo,Ecuador,69,36,52,57,40,53,32,52,59,67,66,48,38,43,7,15,13,
K. Coates,England,69,25,35,54,56,44,23,35,45,71,58,22,62,55,8,11,11,
B. Pico,Ecuador,,,,,,10,8,26,9,18,22,38,11,13,62,54,59,23
K. Pinargote,Ecuador,,,,,,11,5,13,19,32,29,44,14,11,56,52,58,27
L. Berdugo,Colombia,63,50,55,58,51,43,53,58,55,61,59,51,53,53,9,8,8,
M. Traore,Guinea,54,58,41,54,18,31,62,30,55,56,54,55,13,11,14,9,6,
G. Reyes,Venezuela,73,47,48,54,50,44,49,45,52,72,60,48,52,50,9,7,11,
J. Trillo,Venezuela,58,25,41,39,56,21,24,55,54,59,51,33,63,60,7,8,12,
V. Navas,Venezuela,71,55,46,55,25,50,60,31,55,70,60,52,21,20,7,10,13,
Lee Young Joon,Korea Republic,57,55,45,54,19,33,57,43,54,53,54,55,11,12,13,10,15,
Á. Lezama,Venezuela,58,32,33,33,57,20,27,40,28,61,47,54,60,55,8,6,13,
J. Suárez,Venezuela,60,31,38,43,55,28,26,38,52,59,40,40,63,60,11,12,8,
S. Gómez,Venezuela,61,27,39,43,56,22,25,47,51,62,46,40,63,60,13,8,14,
M. León,Chile,65,42,54,61,50,52,38,54,62,65,64,47,53,52,15,13,5,
T. Semba,Japan,68,49,54,63,34,54,49,55,60,76,78,47,36,32,14,7,7,
C. Mizell,United States,,,,,,20,12,38,15,19,30,45,18,19,56,51,58,21
Ye Hoon Ueom,Korea Republic,,,,,,12,8,20,17,32,34,40,13,14,60,57,58,30
K. Rad,United States,57,31,37,37,56,22,34,54,40,55,45,38,56,57,7,15,11,
T. Nascente,Uruguay,59,57,41,51,23,30,61,31,55,57,53,53,20,15,6,8,12,
A. Flanagan,United States,59,48,42,44,54,51,60,32,50,57,62,50,60,50,7,7,5,
M. Gragger,Austria,67,37,46,54,52,49,35,44,56,68,69,42,56,57,12,11,14,
C. González,Venezuela,,,,,,15,10,27,15,25,30,38,11,14,60,57,55,28
C. Jennings,United States,69,58,36,53,18,28,60,31,52,70,64,57,12,10,10,7,15,
K. Habibullah,Canada,69,55,49,63,27,43,54,42,60,72,81,53,34,33,14,11,14,
W. Mikelbrencis,France,58,32,43,54,55,51,30,37,43,65,59,29,62,67,14,9,10,
Y. Hayasaka,Japan,,,,,,15,7,23,14,48,53,43,11,15,60,55,62,48
R. Tanada,Japan,55,58,40,58,22,35,60,35,58,54,62,57,15,19,7,13,6,
G. Bokake,Germany,73,59,47,59,24,45,64,41,60,75,73,71,24,30,13,9,11,
G. Kennedy,England,66,45,52,56,50,44,46,57,57,67,59,45,53,49,8,14,10,
J. Kleeberg,Germany,73,31,45,50,52,48,31,47,46,72,79,26,55,54,13,15,12,
B. Zynek,Poland,74,50,46,60,25,45,53,45,58,73,70,50,25,33,11,6,9,
B. Minnema,Netherlands,,,,,,14,6,15,12,18,28,41,14,11,58,55,61,19
A. Roncaglia,France,50,27,49,41,56,40,25,60,41,46,45,37,59,62,14,6,14,
J. Rotsen,France,63,39,50,61,53,29,43,52,61,67,61,41,57,54,12,12,15,
C. Rowe,England,52,25,35,38,55,25,20,36,40,64,39,32,57,54,14,15,11,
C. Dundas,England,50,56,39,53,23,34,58,32,54,45,49,57,20,16,11,13,7,
R. Popa,Romania,,,,,,14,5,32,20,36,43,45,11,13,58,51,60,38
A. Raicea,Romania,69,48,55,56,25,60,52,55,55,70,72,47,24,27,11,12,6,
A. Thomas,Russia,,,,,,12,9,25,12,26,29,45,13,13,59,55,60,22
A. Aydın,Turkey,61,47,59,58,41,51,49,63,62,54,49,51,47,45,5,6,8,
J. Makengo,France,62,20,35,42,56,30,18,35,40,60,61,23,59,60,11,14,6,
M. Vasiľ,Slovakia,64,51,56,58,30,47,42,56,55,64,69,61,32,35,6,9,10,
M. Cioiu,Romania,69,53,53,58,44,56,53,50,55,71,70,55,45,40,6,7,11,
H. Bility,Australia,58,25,36,36,53,29,20,40,42,57,49,40,55,52,14,10,6,
T. Saunders,United States,,,,,,11,6,27,16,20,36,41,11,11,57,53,60,24
A. Bazdrigiannis,Germany,68,53,50,61,22,51,56,40,57,67,84,53,22,21,13,12,6,
A. Schulz,Germany,,,,,,11,7,28,16,26,28,41,12,11,51,54,62,26
A. Okyere,Ghana,72,53,52,63,48,43,59,53,64,69,63,54,54,51,6,7,15,
N. Sauter,Germany,,,,,,13,8,19,13,28,31,39,13,12,59,54,61,27
M. Al Kunaydiri,Saudi Arabia,71,28,47,52,53,52,23,47,49,72,58,29,55,54,8,14,10,
L. Kehl,Germany,67,55,46,59,31,34,60,39,57,69,72,54,31,29,11,10,7,
M. Oczkowski,Poland,,,,,,12,9,18,12,41,33,43,12,11,58,55,59,37
R. Wagner,Germany,62,41,56,56,45,47,37,58,60,63,66,49,53,48,11,14,11,
D. Tomic,Austria,74,59,36,55,19,29,63,29,52,70,62,58,17,11,7,12,7,
E. Belhadji,France,59,50,53,57,38,64,47,55,58,65,51,62,46,31,5,9,10,
A. Al Jowayed,Saudi Arabia,59,32,51,55,55,48,27,53,56,58,54,41,56,52,8,11,5,
L. Schulz,Finland,,,,,,14,8,20,18,21,22,43,11,12,57,60,56,20
H. Far,France,64,60,42,53,21,36,66,37,48,63,57,53,19,17,13,9,9,
A. Demici,Romania,67,33,46,54,52,41,21,48,53,68,66,52,58,55,13,9,6,
B. Hompesch,Germany,66,48,51,59,39,40,51,56,54,71,75,47,42,37,9,6,7,
I. Altuntas,Germany,63,25,43,51,55,45,22,37,53,62,67,27,57,54,13,13,8,
J. Lemmerer,Austria,75,56,42,56,23,33,61,36,52,74,72,52,22,19,7,8,5,
F. Weiler,Austria,66,46,50,64,33,43,46,51,63,65,73,52,32,35,10,6,11,
W. Kłos,Poland,67,47,55,52,46,56,48,55,48,68,57,55,49,51,13,9,11,
T. De Percin,France,,,,,,11,9,22,16,25,39,42,11,14,61,55,58,22
K. Silvestre,France,71,55,44,61,29,55,60,40,67,71,65,68,30,35,8,7,13,
S. Faraj,Algeria,68,46,56,60,42,43,44,59,58,67,62,53,47,46,7,9,6,
A. Abdijanovic,Austria,59,55,38,55,19,32,57,29,55,62,61,58,20,13,11,9,6,
R. Tsunoda,Japan,61,29,46,39,60,53,22,48,46,64,59,41,65,62,6,9,8,
A. Demouchy,France,49,30,45,46,60,49,31,36,54,53,42,32,63,60,5,10,14,
M. Krienzer,Austria,68,57,41,52,22,32,63,31,50,65,68,51,18,18,12,12,8,
I. Čalušić,Croatia,50,26,36,33,57,22,22,38,24,48,52,37,62,59,14,8,5,
G. Quilichini,France,,,,,,11,6,25,12,29,23,44,10,10,54,52,63,25
F. Stumpe,Germany,79,55,47,60,24,49,56,43,57,77,79,59,24,21,9,8,10,
P. Zaidan,Guinea,65,31,39,53,53,43,25,29,47,67,61,45,56,58,15,12,9,
M. Nonnenmacher,France,60,33,50,58,52,37,29,53,60,63,57,45,55,49,14,7,6,
F. Mehenni,Algeria,70,52,48,60,24,46,53,42,57,73,75,57,26,23,6,15,13,
Z. Labyad,France,63,58,40,55,22,35,60,34,54,62,58,56,18,15,8,5,9,
C. Rodas,Mexico,,,,,,13,9,21,20,65,34,41,13,12,59,59,50,65
A. Cruz,Mexico,,,,,,14,10,23,11,17,34,44,11,10,57,57,49,17
C. Taylor,England,61,26,37,34,56,26,20,45,39,55,38,40,57,55,11,5,7,
T. Addy,England,79,46,49,59,27,57,45,42,58,78,74,58,30,35,10,13,13,
K. Sezonienko,Poland,54,58,38,49,20,30,62,30,51,58,54,55,16,20,9,13,6,
M. Robberechts,Belgium,66,49,57,58,45,54,44,60,60,67,66,58,53,51,12,9,11,
J. Orozco,Mexico,57,30,35,37,59,33,25,31,34,55,47,47,68,60,7,6,15,
P. Sieben,Germany,61,48,52,55,54,39,50,55,56,59,60,49,59,58,15,9,9,
T. Dickinson,England,,,,,,14,6,23,19,24,36,41,12,10,57,55,57,23
M. Ram,England,57,24,33,37,56,31,16,33,43,58,47,43,56,54,13,7,9,
M. Osifo,Belgium,73,24,45,52,54,29,18,53,52,72,67,36,59,54,14,14,12,
E. Cashin,Republic of Ireland,59,26,31,35,59,31,24,30,34,62,47,36,62,64,8,9,10,
M. Koné,France,,,,,,13,7,17,13,17,22,41,11,14,56,53,58,21
R. De Poorter,Belgium,55,25,32,34,57,23,19,34,30,57,48,42,61,58,9,9,13,
M. Berte,Belgium,79,56,39,58,19,29,59,28,57,84,72,55,12,15,10,11,14,
B. Brahimi,France,66,46,52,60,29,53,43,50,58,67,61,56,33,32,5,6,13,
J. Clarke,England,72,55,41,53,20,39,55,31,47,73,68,60,16,13,13,6,8,
M. Oakley,England,62,45,43,53,53,52,48,40,50,66,53,51,59,55,11,11,12,
R. Friday,Nigeria,78,53,45,57,19,33,57,40,54,77,73,55,15,18,12,11,7,
T. Tuzlacik,Netherlands,62,42,58,57,53,49,36,60,59,63,58,52,56,57,7,6,11,
R. Baniya,Italy,64,30,32,37,59,26,23,32,39,64,40,45,65,65,12,7,8,
Y. Özdemir,Turkey,54,39,53,57,53,48,34,59,56,53,55,55,60,60,12,10,10,
H. Diarra,France,60,39,54,58,51,40,33,56,58,61,50,54,55,59,8,12,8,
G. Schäfer,Germany,64,57,53,56,28,57,59,44,57,62,61,61,28,23,13,7,10,
J. Schröder,Germany,63,33,47,53,53,52,34,41,52,62,60,31,52,49,15,6,6,
C. Torres,Chile,68,53,51,54,26,52,58,46,53,70,62,52,24,22,15,10,11,
T. Nkeng,Cameroon,71,54,42,54,25,38,58,35,55,72,60,51,25,21,12,10,5,
S. Swinkels,Netherlands,61,31,37,37,56,28,24,33,36,60,40,50,58,61,14,10,13,
A. Boakye,Ghana,84,47,50,61,26,47,48,46,60,82,70,53,22,28,10,10,6,
A. Camara,Mali,76,56,41,50,20,39,58,38,50,74,51,54,18,17,12,6,11,
